source,destination,time,source_name,destination_name,source_longitude,source_latitude,destination_longitude,destination_latitude,destination_latitude_center,destination_longitude_center,angle,LineText
60201124,60200282,14.0,Roßauer Lände,Donaumarina,16.3675738,48.222349949999995,16.43126455,48.206269,-3.4272349085342926,13.574021544174885,1.3234803441629,U2
60201182,60200282,9.0,Schottenring,Donaumarina,16.37182755,48.21693275,16.43126455,48.206269,-1.5893369895822966,8.85855563472655,1.3932723586069469,U2
60201184,60200282,11.0,Schottentor,Donaumarina,16.36286685,48.21505689999999,16.43126455,48.206269,-1.4017835261685365,10.91031635406428,1.443013999383847,U2
60201198,60200282,13.0,Schwedenplatz,Donaumarina,16.378104275,48.21187795,16.43126455,48.206269,-1.3640606764917336,12.928238026538997,1.4656750827637333,U2
60201199,60200282,25.0,Schlachthausgasse,Donaumarina,16.4067005,48.19446805,16.43126455,48.206269,10.825885565691905,22.534422595632304,1.122938723320518,U2
60201200,60200282,26.0,Schweglerstraße,Donaumarina,16.3286184,48.19769495,16.43126455,48.206269,2.1642471647083155,25.909767158545677,1.4874596223973844,U2
60201211,60200282,27.0,Schönbrunn,Donaumarina,16.318894,48.18606495,16.43126455,48.206269,4.777942820560598,26.57388308854115,1.3928986263100802,U2
60201235,60200282,39.0,Siebenhirten,Donaumarina,16.309812049999998,48.130395899999996,16.43126455,48.206269,20.663160166889554,33.076181942864395,1.012402565097977,U2
60201260,60200282,31.0,Simmering,Donaumarina,16.41950995,48.170505950000006,16.43126455,48.206269,29.450035685224904,9.6796383268684,0.31755674268427725,U2
60201278,60200282,6.0,Donauspital,Donaumarina,16.465620350000002,48.219558,16.43126455,48.206269,-2.1645452422979825,-5.595957817393298,1.2017163241244326,U2
60201299,60200282,3.0,Stadlau,Donaumarina,16.44903745,48.21961494999999,16.43126455,48.206269,-1.801405618861173,-2.398945142418933,0.9267094147555816,U2
60201305,60200282,16.0,Stadtpark,Donaumarina,16.37969205,48.202840949999995,16.43126455,48.206269,1.0611862924416269,15.964770078292203,1.50442346155334,U2
60201317,60200282,30.0,Kendlerstraße,Donaumarina,16.309147449999998,48.20457495,16.43126455,48.206269,0.4161301784459643,29.997113789072884,1.5569248760001462,U2
60201320,60200282,14.0,Stephansplatz,Donaumarina,16.371564975000002,48.208054399999995,16.43126455,48.206269,-0.4185026366222889,13.993743442808297,1.5408988274888318,U2
60201349,60200282,23.0,Südtiroler Platz,Donaumarina,16.3734569,48.187400350000004,16.43126455,48.206269,7.136739934935611,21.864742008564733,1.255295053991615,U2
60201366,60200282,22.0,Taubstummengasse,Donaumarina,16.370349949999998,48.193794,16.43126455,48.206269,4.41387758195222,21.552672332950724,1.3687945569343145,U2
60201372,60200282,31.0,Thaliastraße,Donaumarina,16.33791205,48.207669949999996,16.43126455,48.206269,-0.46516762152547386,30.99650978874693,1.5557903564833269,U2
60201394,60200282,31.0,Tscherttegasse,Donaumarina,16.327535949999998,48.16474205,16.43126455,48.206269,11.521603748493963,28.779378851231133,1.1899948675658896,U2
60201404,60200282,32.0,Unter St. Veit,Donaumarina,16.2862365,48.19108095,16.43126455,48.206269,3.3329702182884913,31.825953395365897,1.4664517636136418,U2
60201430,60200282,20.0,Volkstheater,Donaumarina,16.358481025,48.20542455,16.43126455,48.206269,0.23202865468763978,19.998654022293696,1.5591946337990115,U2
60201433,60200282,14.0,Vorgartenstraße,Donaumarina,16.4011663,48.2236938,16.43126455,48.206269,-7.014356246103931,12.11605573001143,1.0460130626828836,U2
60201468,60200282,24.0,Westbahnhof,Donaumarina,16.338796575,48.196395925,16.43126455,48.206269,2.548066502832925,23.864353272132494,1.4644264145301105,U2
60201481,60200282,32.0,Neulaa,Donaumarina,16.3861419,48.145831900000005,16.43126455,48.206269,25.64172330722934,19.144242628933945,0.6413248607882781,U2
60201499,60200282,34.0,Alterlaa,Donaumarina,16.316873049999998,48.1507169,16.43126455,48.206269,14.852682665041035,30.584274025250124,1.1187095611303102,U2
